 			recordClassName	targetType	name	displayName	shortDisplayName	description	geneOrTranscript	displayOrder	scope	scope	scope
			eupath/eupath.owl#recordClassName	eupath/eupath.owl#targetType	eupath/eupath.owl#name	EUPATH_0000052	eupath/eupath.owl#shortDisplayName	eupath/eupath.owl#description	eupath/eupath.owl#geneOrTranscript	EUPATH_0000274	eupath/eupath.owl#scope	eupath/eupath.owl#scope	eupath/eupath.owl#scope
##  Custom Categories ##													
													
GenomicSequenceLocationCategory					GenomicSequenceLocationCategory	Genomic Location				6			
TextCategory					TextCategory	Text				1			
													
													
## Gene Questions ##													
													
GeneRecordClasses.GeneRecordClass.GeneQuestions.GeneTextSearch	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	search	GeneQuestions.GeneTextSearch						menu	webservice	
GeneRecordClasses.GeneRecordClass.GeneQuestions.Identifier	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	search	GeneQuestions.Identifier						menu	webservice	
GeneRecordClasses.GeneRecordClass.GeneQuestions.Upload	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	search	GeneQuestions.Upload						menu	webservice	
GeneRecordClasses.GeneRecordClass.GeneRisk	http://edamontology.org/topic_0199	Genetic variation	GeneRecordClasses.GeneRecordClass	search	GeneRisk						menu	webservice	
													
## Gene Attributes ##													
													
GeneRecordClasses.GeneRecordClass.source_id	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	source_id				gene			record-internal	download
GeneRecordClasses.GeneRecordClass.chromosome	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	GeneRecordClasses.GeneRecordClass	attribute	chromosome				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.gene_name	http://edamontology.org/topic_0219	Curation and Annotation	GeneRecordClasses.GeneRecordClass	attribute	gene_name				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.gene_type	http://edamontology.org/topic_0114	Gene Structure	GeneRecordClasses.GeneRecordClass	attribute	gene_type				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.strand	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	GeneRecordClasses.GeneRecordClass	attribute	strand				gene			record-internal	download
GeneRecordClasses.GeneRecordClass.location_start	GenomicSequenceLocationCategory	GenomicSequenceLocationCategory	GeneRecordClasses.GeneRecordClass	attribute	location_start				gene		results	record-internal	download
GeneRecordClasses.GeneRecordClass.location_end	http://edamontology.org/topic_0114	GenomicSequenceLocationCategory	GeneRecordClasses.GeneRecordClass	attribute	location_end				gene		results	record-internal	download
